evaluator,deviation
gpt-4o-mini,0.006602641056422609
gpt-4.1-mini,0.0183073229291717
gpt-4o,0.0009003601440575881
gpt-4.1,0.1386554621848739
haiku-3.5,0.004801920768307322
sonnet-3.7,0.04408396432324646
sonnet-4.5,0.07063170095624449
opus-4.1,0.1130521173986836
gemini-2.0-flash-lite,0.0024009603841536054
gemini-2.0-flash,0.0009003601440576992
ll-3.1-8b,-0.10774309723889558
ll-3.1-70b,-0.05582232893157263
ll-3.1-405b,0.044417767106842754
qwen-2.5-7b,0.004201680672268893
qwen-2.5-72b,0.009903961584633802
qwen-3.0-80b,0.010204081632653073
deepseek-3.1,0.013805522208883536
kimi-k2,0.07442977190876343
