evaluator,deviation
gpt-oss-120b-thinking,0.034471371781832794
opus-4.1-thinking,0.16282165039929009
gemini-2.5-pro-thinking,0.03559691916361041
qwen-3.0-80b-thinking,-0.007068860747164285
deepseek-r1-thinking,0.018195879997122244
kimi-k2-thinking,0.03334096990428337
gpt-4o-mini,0.016453818554069577
gpt-4.1-mini,0.00790254786418465
gpt-4o,0.0019797139630080007
gpt-4.1,0.10756252487540208
haiku-3.5,-0.016177123023122297
sonnet-3.7,0.06395611985674632
sonnet-4.5,0.04135762250927355
opus-4.1,0.23666198113428272
gemini-2.0-flash-lite,-0.01001284454875917
gemini-2.0-flash,0.011867298138031224
ll-3.1-8b,-0.07821669974259648
ll-3.1-70b,0.02695161119074152
ll-3.1-405b,0.04868257801717546
qwen-2.5-7b,0.0025335942626771857
qwen-2.5-72b,-0.048289800870180866
qwen-3.0-80b,0.009326969168476973
deepseek-3.1,0.005391897465556017
kimi-k2,0.04864157537846958
